id,videoID,title,description,publishedAt,thumbnail,duration,tags,views,likes,dislikes,comments,sport,teams,players,umpires,topic,gamedate
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC40QTRDMjY0RTNGMzVENTk5,wRULbyFQRQM,"Justin Verlander no hits the Blue Jays, a breakdown","#verlander #nohitter #seatgeekcodeJOMBOY

Head to https://vincerowatches.com/jomboy to get 20 percent off luxury handcrafted watches

NEW MERCH! https://shop.jomboymedia.com/collections/jomboy-media

LEAVE BREAKDOWN SUGGESTIONS HERE: http://bit.ly/BreakdownSuggestions

Support on Patreon: https://www.patreon.com/jomboymedia
• Extra videos
• Requests
• Live Access to new show
• Jersey giveaway

Subscribe to our other YT Channels
Talkin Yanks: https://www.youtube.com/channel/UCzcaZfAmCJlCSoBOiNWx20Q
Jomboy & Jake Radio: https://www.youtube.com/channel/UCifMPWjBEu7rYx3CVdkjiWA
Laughs from the Past: https://www.youtube.com/channel/UCAFEYBtgbNxHAVMGNsyqMiQ

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2019-11-17T00:27:20Z,https://i.ytimg.com/vi/wRULbyFQRQM/maxresdefault.jpg,PT2M18S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio', 'verlander', 'justin verlander', 'no hitter', 'astros', 'houston astros', 'blue jays', 'abraham toro']",771030,16814,276,1578,Baseball,Blue Jays|Astros,Abraham Toro|Justin Verlander,,No-Hitter|AL,20190901
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC5CRkNFMTYyNTEzNTgzMkE2,ZWViIcAhkV8,"Mookie Betts ends 13-pitch at-bat with a Grand Slam, a breakdown","#grandslam #baseball #redsox

SUBSCRIBE TO THE NEWSLETTER: https://confirmsubscription.com/h/t/3D96AF9DDCC13BEB

BUY MERCH! https://shop.jomboymedia.com/collections/jomboy-media

LEAVE CURRENT BREAKDOWN SUGGESTIONS HERE: http://bit.ly/BreakdownSuggestions

LEAVE PAST BASEBALL BREAKDOWN SUGGESTIONS HERE: http://bit.ly/pastbreakdownsuggestions1

Subscribe to our other YT Channels
Talkin' Yanks: https://www.youtube.com/channel/UCzcaZfAmCJlCSoBOiNWx20Q
Talkin' Baseball: https://www.youtube.com/channel/UCeQ5xiPb9TMpTQIjcscvBRg
Laughs from the Past: https://www.youtube.com/channel/UCAFEYBtgbNxHAVMGNsyqMiQ
Jomboy & Jake Radio: https://www.youtube.com/channel/UCifMPWjBEu7rYx3CVdkjiWA

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2020-04-22T01:15:26Z,https://i.ytimg.com/vi/ZWViIcAhkV8/maxresdefault.jpg,PT3M9S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio']",276593,7779,97,500,Baseball,Red Sox|Blue Jays,Mookie Betts|Ian Happ,,Grand Slam|Home Run|Lip Reading|AL,20180713
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC4xMURBNTAzRDg5MkU1Q0Qw,u58JLJb_q5A,"Bryce Harper and Hunter Strickland throw punches at each other, a breakdown","#baseball #nationals #giants

SUBSCRIBE TO THE NEWSLETTER: https://confirmsubscription.com/h/t/3D96AF9DDCC13BEB

BUY MERCH! https://shop.jomboymedia.com/collections/jomboy-media

LEAVE CURRENT BREAKDOWN SUGGESTIONS HERE: http://bit.ly/BreakdownSuggestions

LEAVE PAST BASEBALL BREAKDOWN SUGGESTIONS HERE: http://bit.ly/pastbreakdownsuggestions1

Subscribe to our other YT Channels
Talkin' Yanks: https://www.youtube.com/channel/UCzcaZfAmCJlCSoBOiNWx20Q
Talkin' Baseball: https://www.youtube.com/channel/UCeQ5xiPb9TMpTQIjcscvBRg
Laughs from the Past: https://www.youtube.com/channel/UCAFEYBtgbNxHAVMGNsyqMiQ
Jomboy & Jake Radio: https://www.youtube.com/channel/UCifMPWjBEu7rYx3CVdkjiWA

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2020-04-20T19:28:35Z,https://i.ytimg.com/vi/u58JLJb_q5A/maxresdefault.jpg,PT5M29S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio']",1402310,19693,601,1935,Baseball,Nationals|Giants,Bryce Harper|Hunter Strickland,,Home Run|Playoffs|Hit By Pitch|Fight|Ejection|Brawl|NL,20190529
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC5BRkMzRjEwQUIzOTAwOTFC,bWAiViyVd20,"Guardian Pitcher hits Monkey Batter after an illegal bat inspection, a breakdown","SUBSCRIBE TO THE NEWSLETTER: https://confirmsubscription.com/h/t/3D96AF9DDCC13BEB

BUY MERCH! https://shop.jomboymedia.com/collections/jomboy-media

LEAVE CURRENT BREAKDOWN SUGGESTIONS HERE: http://bit.ly/BreakdownSuggestions

LEAVE PAST BASEBALL BREAKDOWN SUGGESTIONS HERE: http://bit.ly/pastbreakdownsuggestions1

Subscribe to our other YT Channels
Talkin' Yanks: https://www.youtube.com/channel/UCzcaZfAmCJlCSoBOiNWx20Q
Talkin' Baseball: https://www.youtube.com/channel/UCeQ5xiPb9TMpTQIjcscvBRg
Laughs from the Past: https://www.youtube.com/channel/UCAFEYBtgbNxHAVMGNsyqMiQ
Jomboy & Jake Radio: https://www.youtube.com/channel/UCifMPWjBEu7rYx3CVdkjiWA

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2020-04-19T20:49:33Z,https://i.ytimg.com/vi/bWAiViyVd20/maxresdefault.jpg,PT3M,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio']",527050,7640,235,924,Baseball,,,,Ejection|Brawl,
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC4yMDBDQTBGMDhBNzNBRjMz,o7Z8sSpsg6Q,"Minotaur gets revenge on Blacksmith and sends a message to bullies everywhere, a breakdown","SUBSCRIBE TO THE NEWSLETTER: https://confirmsubscription.com/h/t/3D96AF9DDCC13BEB

BUY MERCH! https://shop.jomboymedia.com/collections/jomboy-media

LEAVE CURRENT BREAKDOWN SUGGESTIONS HERE: http://bit.ly/BreakdownSuggestions

LEAVE PAST BASEBALL BREAKDOWN SUGGESTIONS HERE: http://bit.ly/pastbreakdownsuggestions1

Subscribe to our other YT Channels
Talkin' Yanks: https://www.youtube.com/channel/UCzcaZfAmCJlCSoBOiNWx20Q
Talkin' Baseball: https://www.youtube.com/channel/UCeQ5xiPb9TMpTQIjcscvBRg
Laughs from the Past: https://www.youtube.com/channel/UCAFEYBtgbNxHAVMGNsyqMiQ
Jomboy & Jake Radio: https://www.youtube.com/channel/UCifMPWjBEu7rYx3CVdkjiWA

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2020-04-17T22:18:02Z,https://i.ytimg.com/vi/o7Z8sSpsg6Q/maxresdefault.jpg,PT2M20S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio']",109629,3678,53,265,Robot,,,,,
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC4yNjNBMEFFM0NGQkQ5NkFC,MR4R09eWbI8,"Strawberry Gets Ejected, Pete Rose Pinch hits himself and the Reds & Mets Brawl, a breakdown","SUBSCRIBE TO THE NEWSLETTER: https://confirmsubscription.com/h/t/3D96AF9DDCC13BEB

BUY MERCH! https://shop.jomboymedia.com/collections/jomboy-media

LEAVE CURRENT BREAKDOWN SUGGESTIONS HERE: http://bit.ly/BreakdownSuggestions

LEAVE PAST BASEBALL BREAKDOWN SUGGESTIONS HERE: http://bit.ly/pastbreakdownsuggestions1

Subscribe to our other YT Channels
Talkin' Yanks: https://www.youtube.com/channel/UCzcaZfAmCJlCSoBOiNWx20Q
Talkin' Baseball: https://www.youtube.com/channel/UCeQ5xiPb9TMpTQIjcscvBRg
Laughs from the Past: https://www.youtube.com/channel/UCAFEYBtgbNxHAVMGNsyqMiQ
Jomboy & Jake Radio: https://www.youtube.com/channel/UCifMPWjBEu7rYx3CVdkjiWA

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2020-04-17T21:12:47Z,https://i.ytimg.com/vi/MR4R09eWbI8/maxresdefault.jpg,PT5M30S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio']",290967,5095,122,899,Baseball,Mets|Reds,Pete Rose|Darryl Strawberry|Eric Davis,,Error|Stolen Base|Brawl|Fight|Ejection|NL,19860722
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC4yRUFBQTFGQjcxN0FCOTlC,TnMac11Csow,"Weird High School Baseball Fields, a breakdown with FivePoints Vids","#baseball #highschool 

Thanks to FivePoints Vids for helping out! https://www.youtube.com/user/Madden5Points 

SUBSCRIBE TO THE NEWSLETTER: https://confirmsubscription.com/h/t/3D96AF9DDCC13BEB

BUY MERCH! https://shop.jomboymedia.com/collections/jomboy-media

LEAVE CURRENT BREAKDOWN SUGGESTIONS HERE: http://bit.ly/BreakdownSuggestions

LEAVE PAST BASEBALL BREAKDOWN SUGGESTIONS HERE: http://bit.ly/pastbreakdownsuggestions1

Subscribe to our other YT Channels
Talkin' Yanks: https://www.youtube.com/channel/UCzcaZfAmCJlCSoBOiNWx20Q
Talkin' Baseball: https://www.youtube.com/channel/UCeQ5xiPb9TMpTQIjcscvBRg
Laughs from the Past: https://www.youtube.com/channel/UCAFEYBtgbNxHAVMGNsyqMiQ
Jomboy & Jake Radio: https://www.youtube.com/channel/UCifMPWjBEu7rYx3CVdkjiWA

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2020-04-13T21:28:19Z,https://i.ytimg.com/vi/TnMac11Csow/maxresdefault.jpg,PT5M48S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio']",573384,11227,279,1191,Baseball,,,,,
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC4zQkM4NTU2NDZBMkI0Q0ZG,yWNyWhHaq3k,"Randy Johnson completes a perfect game, a breakdown","#baseball #perfectgame #diamondbacks

SUBSCRIBE TO THE NEWSLETTER: https://confirmsubscription.com/h/t/3D96AF9DDCC13BEB

BUY MERCH! https://shop.jomboymedia.com/collections/jomboy-media

LEAVE CURRENT BREAKDOWN SUGGESTIONS HERE: http://bit.ly/BreakdownSuggestions

LEAVE PAST BASEBALL BREAKDOWN SUGGESTIONS HERE: http://bit.ly/pastbreakdownsuggestions1

Subscribe to our other YT Channels
Talkin' Yanks: https://www.youtube.com/channel/UCzcaZfAmCJlCSoBOiNWx20Q
Talkin' Baseball: https://www.youtube.com/channel/UCeQ5xiPb9TMpTQIjcscvBRg
Laughs from the Past: https://www.youtube.com/channel/UCAFEYBtgbNxHAVMGNsyqMiQ
Jomboy & Jake Radio: https://www.youtube.com/channel/UCifMPWjBEu7rYx3CVdkjiWA

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2020-04-09T21:32:43Z,https://i.ytimg.com/vi/yWNyWhHaq3k/maxresdefault.jpg,PT2M17S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio']",115720,4182,26,366,Baseball,Diamondbacks|Braves,Randy Johnson,,Perfect Game|No-Hitter,20040518
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC42QzNFREE5RjlDMUNFOUNF,tM3LszRKNrY,"Jesús Aguilar hits a walk-off home run in a 13-pitch at-bat, a breakdown","#brewers #marlins #baseball

SUBSCRIBE TO THE NEWSLETTER: https://confirmsubscription.com/h/t/3D96AF9DDCC13BEB

BUY MERCH! https://shop.jomboymedia.com/collections/jomboy-media

LEAVE CURRENT BREAKDOWN SUGGESTIONS HERE: http://bit.ly/BreakdownSuggestions

LEAVE PAST BASEBALL BREAKDOWN SUGGESTIONS HERE: http://bit.ly/pastbreakdownsuggestions1

Subscribe to our other YT Channels
Talkin' Yanks: https://www.youtube.com/channel/UCzcaZfAmCJlCSoBOiNWx20Q
Talkin' Baseball: https://www.youtube.com/channel/UCeQ5xiPb9TMpTQIjcscvBRg
Laughs from the Past: https://www.youtube.com/channel/UCAFEYBtgbNxHAVMGNsyqMiQ
Jomboy & Jake Radio: https://www.youtube.com/channel/UCifMPWjBEu7rYx3CVdkjiWA

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2020-04-08T18:32:58Z,https://i.ytimg.com/vi/tM3LszRKNrY/maxresdefault.jpg,PT2M55S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio']",130251,4295,29,325,Baseball,Marlins|Brewers,Jesus Aguilar|Junichi Tazawa,,Home Run|Walk-Off|NL,20180421
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC44MkNFQjU0NURFRjI0MUIz,wQRwfzTk-6Y,"Relief Pitcher Norm Charlton crushes Mike Scioscia at the plate, a breakdown","SUBSCRIBE TO THE NEWSLETTER: https://confirmsubscription.com/h/t/3D96AF9DDCC13BEB

BUY MERCH! https://shop.jomboymedia.com/collections/jomboy-media

LEAVE CURRENT BREAKDOWN SUGGESTIONS HERE: http://bit.ly/BreakdownSuggestions

LEAVE PAST BASEBALL BREAKDOWN SUGGESTIONS HERE: http://bit.ly/pastbreakdownsuggestions1

Subscribe to our other YT Channels
Talkin' Yanks: https://www.youtube.com/channel/UCzcaZfAmCJlCSoBOiNWx20Q
Talkin' Baseball: https://www.youtube.com/channel/UCeQ5xiPb9TMpTQIjcscvBRg
Laughs from the Past: https://www.youtube.com/channel/UCAFEYBtgbNxHAVMGNsyqMiQ
Jomboy & Jake Radio: https://www.youtube.com/channel/UCifMPWjBEu7rYx3CVdkjiWA

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2020-04-06T20:28:32Z,https://i.ytimg.com/vi/wQRwfzTk-6Y/maxresdefault.jpg,PT3M4S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio']",188487,3374,72,683,Baseball,Reds|Dodgers,Mike Scioscia|Norm Charlton,,Collision|NL,19900624
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC4wRjA4QTYyMkVBNDc1QjE3,2Weql3etqZo,"Buck Martinez completes the double play with a broken leg, a breakdown","#baseball #bluejays #mariners

SUBSCRIBE TO THE NEWSLETTER: https://confirmsubscription.com/h/t/3D96AF9DDCC13BEB

BUY MERCH! https://shop.jomboymedia.com/collections/jomboy-media

LEAVE CURRENT BREAKDOWN SUGGESTIONS HERE: http://bit.ly/BreakdownSuggestions

LEAVE PAST BASEBALL BREAKDOWN SUGGESTIONS HERE: http://bit.ly/pastbreakdownsuggestions1

Subscribe to our other YT Channels
Talkin' Yanks: https://www.youtube.com/channel/UCzcaZfAmCJlCSoBOiNWx20Q
Talkin' Baseball: https://www.youtube.com/channel/UCeQ5xiPb9TMpTQIjcscvBRg
Laughs from the Past: https://www.youtube.com/channel/UCAFEYBtgbNxHAVMGNsyqMiQ
Jomboy & Jake Radio: https://www.youtube.com/channel/UCifMPWjBEu7rYx3CVdkjiWA

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2020-04-06T17:54:16Z,https://i.ytimg.com/vi/2Weql3etqZo/maxresdefault.jpg,PT2M7S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio']",103611,3237,42,276,Baseball,Mariners|Blue Jays,Buck Martinez,,Double Play|Collision|AL,19850709
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC45OTNCN0JFRjlCMjkyNjYx,qyOm3GGy0EE,"Pete Rose Snags a dropped pop up in the World Series, a breakdown","#phillies #royals #worldseries

SUBSCRIBE TO THE NEWSLETTER: https://confirmsubscription.com/h/t/3D96AF9DDCC13BEB

BUY MERCH! https://shop.jomboymedia.com/collections/jomboy-media

LEAVE CURRENT BREAKDOWN SUGGESTIONS HERE: http://bit.ly/BreakdownSuggestions

LEAVE PAST BASEBALL BREAKDOWN SUGGESTIONS HERE: http://bit.ly/pastbreakdownsuggestions1

Subscribe to our other YT Channels
Talkin' Yanks: https://www.youtube.com/channel/UCzcaZfAmCJlCSoBOiNWx20Q
Talkin' Baseball: https://www.youtube.com/channel/UCeQ5xiPb9TMpTQIjcscvBRg
Laughs from the Past: https://www.youtube.com/channel/UCAFEYBtgbNxHAVMGNsyqMiQ
Jomboy & Jake Radio: https://www.youtube.com/channel/UCifMPWjBEu7rYx3CVdkjiWA

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2020-04-04T20:24:56Z,https://i.ytimg.com/vi/qyOm3GGy0EE/maxresdefault.jpg,PT2M18S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio']",111852,2438,28,376,Baseball,Phillies|Royals,Pete Rose,,World Series|Playoffs|NL|AL,19801021
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC44RjQ4NzZBODY2NTRFNTE4,PLSaQaofOcM,"Rougned Odor punches José Bautista in the face, a breakdown","#rangers #bluejays #seatgeekcodeJOMBOY

SUBSCRIBE TO THE NEWSLETTER: https://confirmsubscription.com/h/t/3D96AF9DDCC13BEB

BUY MERCH! https://shop.jomboymedia.com/collections/jomboy-media

LEAVE CURRENT BREAKDOWN SUGGESTIONS HERE: http://bit.ly/BreakdownSuggestions

LEAVE PAST BASEBALL BREAKDOWN SUGGESTIONS HERE: http://bit.ly/pastbreakdownsuggestions1

Subscribe to our other YT Channels
Talkin' Yanks: https://www.youtube.com/channel/UCzcaZfAmCJlCSoBOiNWx20Q
Talkin' Baseball: https://www.youtube.com/channel/UCeQ5xiPb9TMpTQIjcscvBRg
Laughs from the Past: https://www.youtube.com/channel/UCAFEYBtgbNxHAVMGNsyqMiQ
Jomboy & Jake Radio: https://www.youtube.com/channel/UCifMPWjBEu7rYx3CVdkjiWA

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2020-04-04T19:09:34Z,https://i.ytimg.com/vi/PLSaQaofOcM/maxresdefault.jpg,PT5M34S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio']",690193,15664,273,2110,Baseball,Rangers|Blue Jays,Jose Bautista|Rougned Odor|Josh Donaldson|Kevin Pillar|Russell Martin,,Fight|Brawl|Hit By Pitch|Ejection|AL,20160515
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC44RDU5MDZERTlEMzhGODAw,XmOQJYQJ4t8,"The Mariners walk off to win the 1995 ALDS vs the Yankees, a breakdown","SUBSCRIBE TO THE NEWSLETTER: https://confirmsubscription.com/h/t/3D96AF9DDCC13BEB

BUY MERCH! https://shop.jomboymedia.com/collections/jomboy-media

LEAVE CURRENT BREAKDOWN SUGGESTIONS HERE: http://bit.ly/BreakdownSuggestions

LEAVE PAST BASEBALL BREAKDOWN SUGGESTIONS HERE: http://bit.ly/pastbreakdownsuggestions1

Subscribe to our other YT Channels
Talkin' Yanks: https://www.youtube.com/channel/UCzcaZfAmCJlCSoBOiNWx20Q
Talkin' Baseball: https://www.youtube.com/channel/UCeQ5xiPb9TMpTQIjcscvBRg
Laughs from the Past: https://www.youtube.com/channel/UCAFEYBtgbNxHAVMGNsyqMiQ
Jomboy & Jake Radio: https://www.youtube.com/channel/UCifMPWjBEu7rYx3CVdkjiWA

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2020-03-31T13:15:30Z,https://i.ytimg.com/vi/XmOQJYQJ4t8/maxresdefault.jpg,PT3M55S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio']",74388,2481,18,323,Baseball,Yankees|Mariners,Ken Griffey Jr,,ALDS|Walk-Off|Playoffs|AL,19951008
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC45NzJGNDg0NDc5REE2QjdF,dZDsLaKI3M4,"Rake kills a fire drone, a breakdown","SUBSCRIBE TO THE NEWSLETTER: https://confirmsubscription.com/h/t/3D96AF9DDCC13BEB

BUY MERCH! https://shop.jomboymedia.com/collections/jomboy-media

LEAVE CURRENT BREAKDOWN SUGGESTIONS HERE: http://bit.ly/BreakdownSuggestions

LEAVE PAST BASEBALL BREAKDOWN SUGGESTIONS HERE: http://bit.ly/pastbreakdownsuggestions1

Subscribe to our other YT Channels
Talkin' Yanks: https://www.youtube.com/channel/UCzcaZfAmCJlCSoBOiNWx20Q
Talkin' Baseball: https://www.youtube.com/channel/UCeQ5xiPb9TMpTQIjcscvBRg
Laughs from the Past: https://www.youtube.com/channel/UCAFEYBtgbNxHAVMGNsyqMiQ
Jomboy & Jake Radio: https://www.youtube.com/channel/UCifMPWjBEu7rYx3CVdkjiWA

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2020-03-30T01:38:32Z,https://i.ytimg.com/vi/dZDsLaKI3M4/maxresdefault.jpg,PT2M10S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio']",385760,10949,249,769,Robot,,,,,
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC42NDRDNzUzM0EyMTNFMEVE,GyEXjunpkJM,"Randy Johnson comes out of the pen in game 5 of the ALDS, a breakdown","SUBSCRIBE TO THE NEWSLETTER: https://confirmsubscription.com/h/t/3D96AF9DDCC13BEB

BUY MERCH! https://shop.jomboymedia.com/collections/jomboy-media

LEAVE CURRENT BREAKDOWN SUGGESTIONS HERE: http://bit.ly/BreakdownSuggestions

LEAVE PAST BASEBALL BREAKDOWN SUGGESTIONS HERE: http://bit.ly/pastbreakdownsuggestions1

Subscribe to our other YT Channels
Talkin' Yanks: https://www.youtube.com/channel/UCzcaZfAmCJlCSoBOiNWx20Q
Talkin' Baseball: https://www.youtube.com/channel/UCeQ5xiPb9TMpTQIjcscvBRg
Laughs from the Past: https://www.youtube.com/channel/UCAFEYBtgbNxHAVMGNsyqMiQ
Jomboy & Jake Radio: https://www.youtube.com/channel/UCifMPWjBEu7rYx3CVdkjiWA

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2020-03-28T23:03:01Z,https://i.ytimg.com/vi/GyEXjunpkJM/maxresdefault.jpg,PT2M11S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio']",306456,8147,113,770,Baseball,Yankees|Mariners,Randy Johnson,,ALDS|AL|Playoffs,19951008
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC4wQTVBMTcyNENDOUE1REIw,bhef_fxMQP0,"The Silver Snakes dominate Legends of the Hidden Temple, a breakdown","SUBSCRIBE TO THE NEWSLETTER: https://confirmsubscription.com/h/t/3D96AF9DDCC13BEB

BUY MERCH! https://shop.jomboymedia.com/collections/jomboy-media

LEAVE CURRENT BREAKDOWN SUGGESTIONS HERE: http://bit.ly/BreakdownSuggestions

LEAVE PAST BASEBALL BREAKDOWN SUGGESTIONS HERE: http://bit.ly/pastbreakdownsuggestions1

Subscribe to our other YT Channels
Talkin' Yanks: https://www.youtube.com/channel/UCzcaZfAmCJlCSoBOiNWx20Q
Talkin' Baseball: https://www.youtube.com/channel/UCeQ5xiPb9TMpTQIjcscvBRg
Laughs from the Past: https://www.youtube.com/channel/UCAFEYBtgbNxHAVMGNsyqMiQ
Jomboy & Jake Radio: https://www.youtube.com/channel/UCifMPWjBEu7rYx3CVdkjiWA

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2020-03-28T22:15:51Z,https://i.ytimg.com/vi/bhef_fxMQP0/maxresdefault.jpg,PT2M12S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio']",65936,2588,27,299,Misc,,,,,
